test-IN-DE,mm,pf,mm,pf
T1,10,220.7,10.1,223.6
T1,12,261.5,12,259.7
T1,14,298.1,14,297
T1,16,333,16,333
T2,10.1,221.7,10.1,224
T2,12,260,12,258.5
T2,14,297.5,14,296.2
T2,16,331,16,331
T3,10.1,222.9,10.2,224.3
T3,12,259.5,12,258.8
T3,14,296.6,14,295.2
T3,16,330.9,16,330.9
T4,10,222.3,10.15,224.2
T4,12,260.2,12,259.2
T4,14,296.5,14,294.8
T4,16,330.3,16,330.3
T5,10.1,222.5,10.2,224.2
T5,12,259.3,12,258.8
T5,14,296.7,14,295.5
T5,16,331.5,16,331.5
T6,10.15,223.5,10.2,224
T6,12,259.6,12,258.8
T6,14,295.9,14,294.9
T6,16,330.1,16,330.1
T7,10.15,223,10.2,224.6
T7,12,258.6,12,258.3
T7,14,295.5,14,295
T7,16,330,16,330
T8,10.15,223,10.2,224.9
T8,12,259.1,12,259.1
T8,14,296.2,14,295
T8,16,330.7,16,330.7
T9,10.1,222.9,10.3,226
T9,12,259,12,258.5
T9,14,296.1,14,294.3
T9,16,330.1,16,330.1
T10,10.1,223.5,10.2,224.9
T10,12,259,12,259
T10,14,295.3,14,295.3
T10,16,329.7,16,329.7
T11,10.15,223.7,10.3,225.7
T11,12,259,12,258.4
T11,14,295.5,14,294.7
T11,16,329.7,16,329.7
T12,10.1,222.9,10.2,224.7
T12,12,259.4,12,258.2
T12,14,295.3,14,294.9
T12,16,330.5,16,330.5
T13,10.15,223.6,10.3,225.7
T13,12,258.5,12,257.8
T13,14,295.4,14,294.9
T13,16,330.1,16,330.1
T14,10.15,224.4,10.3,225.3
T14,12,258.9,12,258.6
T14,14,295.3,14,294.9
T14,16,330,16,330
T15,10,220.3,10.15,223.1
T15,12,258.5,12,258.1
T15,14,295.5,14,291.8
T15,16,327.4,16,327.5
T16,10.09,221.3,10.4,224.2
T16,12,257.4,12,258.2
T16,14,293.2,14,291.4
T16,16,326.1,16,325.8
T17,10.09,221.6,10.2,222.9
T17,12,256.9,12,256.9
T17,14,293.1,14,291.5
T17,16,326.9,16,326.9
T18,10.09,221.5,10.15,223.2
T18,12,258.7,12,257.3
T18,14,294.2,14,292.5
T18,16,327.1,16,327.2
T19,10,221.5,10.1,223
T19,12,257.6,12,257.4
T19,14,294.2,14,293
T19,16,326.2,16,326.1
T20,10.09,221.6,10.15,222.7
T20,12,258.8,12,257.5
T20,14,294.2,14,291.9
T20,16,327.2,16,328.2
